breed_name,species,alt_names,origin_country,height,weight,life_span,personality_traits,description,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,hypoallergenic,wikipedia_url,senior_friendly,urban_friendly,family_compatibility_score,social_environment_score,child_friendly_norm,stranger_friendly_norm,dog_friendly_norm,energy_level_norm,vocalisation_norm,affection_level_norm,intelligence_norm,adaptability_norm,senior_friendly_norm,urban_friendly_norm,senior_friendly_label,urban_friendly_label,family_compatibility_label,social_environment_label,breed_cluster,recommendation,recommendation_confidence,multi_cluster_membership,persona_match,persona_explainability_text,heat_tolerance,cold_tolerance,humidity_tolerance,all_weather_adaptability,recommended_climate_types,dietary_sensitivity_level,common_food_allergies,digestion_robustness,obesity_prone,recommended_diet_type,climate_data_source,diet_data_source,guardian_note,Avg monthly_food_cost_inr,Avg exercise_minutes_daily,Avg grooming_hours_monthly,Avg social_interaction_hours_daily,Avg total_daily_time_hours,Avg professional_grooming_cost_monthly,Avg vet_cost_monthly_avg,Avg total_monthly_cost_inr
American Eskimo Dog,Dog,Eskie,United States,23-48 cm,6-16 kg,13-15 years,"Playful, Alert, Friendly, Intelligent, Reserved","A white fluffy companion dog, popular as circus performers.",4,5,5,5,5,3,5,4,5,5,4,4,0,https://en.wikipedia.org/wiki/American_Eskimo_Dog,2.5,2.9,80,78,1,0.75,1,1,0.75,1,0.75,0.75,0.324324324,0.346153846,Moderate,Moderate,Excellent,Good,Family Dog,Best for families with children; Great for active owners,90,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,2600,120,7,6,8.5,700,500,4200
American Foxhound,Dog,,United States,53-64 cm,18-30 kg,11-13 years,"Independent, Intelligent, Loyal, Active, Gentle","A scent hound bred to hunt foxes, one of the first American breeds.",2,4,5,5,5,5,5,3,3,4.67,4,5,0,https://en.wikipedia.org/wiki/American_Foxhound,1.9,2.4,75,65,1,0.75,1,1,1,0.75,0.5,0.25,0.162162162,0.153846154,Poor,Moderate,Good,Good,Family Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Hounds generally robust),3,High,"Balanced, Portion control",archetype,archetype,Needs large open space; not ideal for small flats.,5700,120,1.5,6,8.5,0,500,6800
American Hairless Terrier,Dog,AHT,United States,25-46 cm,5-7 kg,14-16 years,"Energetic, Alert, Curious, Intelligent, Lively","A hairless breed developed from Rat Terrier, hypoallergenic.",2.6,4,4,3,4,5,4,4,1,3.67,3,3,1,https://en.wikipedia.org/wiki/American_Hairless_Terrier,2.9,3,68,62.8,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.4,0.432432432,0.384615385,Moderate,Moderate,Good,Good,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. ?? Hairless breed: Requires regular bathing (weekly), skin care, sun protection. Needs warm environment and clothing in cold weather. Higher maintenance than furry breeds. Produces body oils that can stain furniture.",1400,75,1,4.5,6.5,0,800,2400
American Leopard Hound,Dog,Leopard Cur,United States,53-69 cm,16-34 kg,12-15 years,"Intelligent, Energetic, Sociable, Protective","An American hunting dog with spotted coat, versatile and loyal.",3.2,5,4,4,4,4,4,4,2,4.33,3,4,0,https://en.wikipedia.org/wiki/American_Leopard_Hound,2.9,2.8,73,65.6,0.75,0.5,0.75,0.75,0.75,1,0.75,0.55,0.432432432,0.307692308,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: Hounds are vocal - expect baying and howling. Not ideal for noise-sensitive living situations or close neighbors. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",5900,75,3,6,8,200,800,7600
American Pit Bull Terrier,Dog,Pit Bull,United States,43-53 cm,14-36 kg,12-16 years,"Affectionate, Energetic, Loyal, Intelligent, Obedient",A medium-sized breed known for loyalty and affection toward family.,2.4,5,5,1,4,5,4,4,4,3.67,5,3,0,https://en.wikipedia.org/wiki/American_Pit_Bull_Terrier,3.2,3.6,88,66.2,1,1,0,0.75,0.5,1,0.75,0.35,0.513513514,0.615384615,Good,Good,Excellent,Good,Family Dog,Best for families with children; Great for active owners,84,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,4,"Chicken, wheat, corn, dairy",3,High,"Small kibble, Easily digestible",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",5900,75,2,6,8,0,800,7400
American Pugabull,Dog,,United States,30-43 cm,14-27 kg,10-13 years,"Friendly, Loyal, Social, Playful",A mix of American Bulldog and Pug combining strength and charm.,2.6,5,4,3,4,4,2,3,3,4,3,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.9,2.6,73,55.8,0.75,0.5,0.5,0.75,0.75,1,0.5,0.4,0.432432432,0.230769231,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners,80,"Family Dog, Active / Outdoor Dog",General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,4,"Chicken, wheat, corn, dairy",3,High,"Small kibble, Easily digestible",archetype,archetype,"?? Brachycephalic (flat-faced) breed: Prone to breathing difficulties, heat sensitivity, snoring, dental issues. Cannot tolerate hot weather or strenuous exercise. Requires special care during hot months. Daily facial cleaning needed. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",4800,75,3,6,8,200,2000,7700
American Staffordshire Terrier,Dog,AmStaff,United States,43-48 cm,18-32 kg,12-16 years,"Confident, Smart, Good-natured, Courageous, Friendly",A muscular terrier breed known for confidence and loyalty.,2.2,4,4,2,3,4,3,4,2,3.33,4,4,0,https://en.wikipedia.org/wiki/American_Staffordshire_Terrier,3,3.3,76,60.6,0.75,0.75,0.25,0.5,0.75,0.75,0.75,0.3,0.459459459,0.5,Moderate,Good,Good,Good,Family Dog,Best for general companionship,60.6,Family Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",5900,45,3,4.5,6,200,1200,8000
American Water Spaniel,Dog,AWS,United States,38-46 cm,11-20 kg,10-14 years,"Energetic, Obedient, Intelligent, Protective, Trainable",A versatile hunting dog bred for water retrieval in Wisconsin.,2.4,5,5,2,5,3,3,3,3,4,3,3,0,https://en.wikipedia.org/wiki/American_Water_Spaniel,2.8,2.6,76,54.2,1,0.5,0.25,1,0.5,1,0.5,0.35,0.405405405,0.230769231,Moderate,Moderate,Good,Moderate,Family Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,1,Minimal (Sporting breeds generally robust),3,Medium,"High-protein, Performance diet",archetype,archetype,Needs large open space; not ideal for small flats.,3700,120,5.5,6,8.5,700,1200,6200
Anatolian Shepherd Dog,Dog,Karabash,Turkey,71-81 cm,41-68 kg,11-13 years,"Steady, Bold, Independent, Confident, Intelligent","A large livestock guardian from Turkey, protective and independent.",3,3,2,2,3,4,3,4,2,2.33,1,2,0,https://en.wikipedia.org/wiki/Anatolian_Shepherd_Dog,3.3,2.9,45,51,0.25,0,0.25,0.5,0.25,0.5,0.75,0.5,0.540540541,0.346153846,Good,Moderate,Moderate,Moderate,Balanced / General Companion,Good as a guard or alert dog,100,Guard / Watch Dog,Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",12900,45,3,3,4.5,200,1200,15700
Appenzeller Sennenhunde,Dog,Appenzeller,Switzerland,48-58 cm,22-32 kg,12-15 years,"Reliable, Fearless, Lively, Self-assured, Intelligent",A Swiss mountain dog used for herding and guarding.,2.6,5,5,3,4,5,4,4,3,4.33,2,5,0,https://en.wikipedia.org/wiki/Appenzeller_Sennenhund,2.6,2.2,76,50.8,1,0.25,0.5,0.75,1,1,0.75,0.4,0.351351351,0.076923077,Moderate,Moderate,Good,Moderate,Family Dog,Great for active owners; Good as a guard or alert dog,80,"Family Dog, Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",6400,75,1.5,6,8,0,800,7900
Auggie,Dog,,United States,25-33 cm,9-14 kg,12-15 years,"Affectionate, Playful, Intelligent, Social, Energetic",A designer cross between Australian Shepherd and Corgi.,3.2,5,5,5,5,2,3,5,4,5,4,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.5,3.2,80,79.6,1,0.75,1,1,0.75,1,1,0.55,0.324324324,0.461538462,Moderate,Good,Excellent,Good,Family Dog,Best for families with children; Great for active owners,90,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,2700,120,10,6,9,1700,1200,6200
